id,name,company_id,comment,website,create_date,color,active,street,supplier,city,display_name,zip,title,country_id,commercial_company_name,parent_id,company_name,employee,ref,email,is_company,function,lang,fax,street2,barcode,phone,write_date,date,tz,write_uid,customer,create_uid,credit_limit,user_id,mobile,type,partner_share,vat,state_id,commercial_partner_id,notify_email,message_last_post,opt_out,message_bounce,signup_type,signup_expiration,signup_token,team_id,debit_limit,last_time_entries_checked,invoice_warn_msg,invoice_warn,calendar_last_notif_ack,sale_warn_msg,sale_warn,picking_warn,picking_warn_msg,purchase_warn,purchase_warn_msg,main_id_number,main_id_category_id,gross_income_type,afip_responsability_type_id,gross_income_number,start_date,imp_ganancias_padron,actividad_monotributo_padron,integrante_soc_padron,last_update_padron,estado_padron,monotributo_padron,imp_iva_padron,empleador_padron,employee_id,drei,transport_id,contact_person,woo_customer_id,woo_company_name_ept,email_collections,apg_warn,apg_warn_msg,market_id,sale_quote_template_id,sale_discount
9228,Cliente 9228,1,,,9/16/19 12:59,0,TRUE,Direccion cliente 9228,FALSE,,Cliente 9228,,,11,,9105,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,America/Argentina/Buenos_Aires,1,FALSE,6,0,,,contact,TRUE,,552,9105,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,,,,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
75006,Cliente 75006,1,,,8/11/20 21:02,0,TRUE,Direccion cliente 75006,FALSE,,Cliente 75006,,,,Empresa 75006,,,FALSE,,,TRUE,,es_AR,,,,,3/4/21 15:31,,America/Argentina/Buenos_Aires,1,TRUE,6,,,,contact,TRUE,,,75006,always,,FALSE,0,,,,,,,,no-message,,,no-message,no-message,,no-message,,,25,,5,,,,,,,,,,FALSE,,,,,,,,no-message,,10,,0
2743,Cliente 2743,1,,,3/15/18 19:07,0,TRUE,Direccion cliente 2743,FALSE,Reconquista,Cliente 2743,3560,,11,Empresa 2743,,,FALSE,,,TRUE,Compras,es_AR,,,,,3/4/21 15:31,,,1,TRUE,1,,,,contact,TRUE,,572,2743,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,25,,7,,,,,,,,,,FALSE,,,,,,,,no-message,,2,50,0
74762,Cliente 74762,1,,,7/17/20 22:20,0,TRUE,Direccion cliente 74762,FALSE,Ramos Mejía,Cliente 74762,1704,,11,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,TRUE,1,,,,,TRUE,,553,74762,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,9,,0
74763,Cliente 74763,1,,,7/17/20 22:20,0,TRUE,Direccion cliente 74763,FALSE,Ramos Mejía,Cliente 74763,1704,,11,,74762,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,FALSE,1,0,,,delivery,TRUE,,553,74762,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
83790,Cliente 83790,1,,,2/10/21 15:22,0,TRUE,Direccion cliente 83790,FALSE,Rio cuarto,Cliente 83790,5800,,11,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,TRUE,1,,,,,TRUE,,557,83790,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,9,,0
83791,Cliente 83791,1,,,2/10/21 15:22,0,TRUE,Direccion cliente 83791,FALSE,Rio cuarto,Cliente 83791,5800,,11,,83790,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,FALSE,1,0,,,delivery,TRUE,,557,83790,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,9,,0
5003,Cliente 5003,1,,,9/27/18 11:47,0,TRUE,Direccion cliente 5003,TRUE,"Villa Lynch, San Martin",Cliente 5003,,,,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,America/Buenos_Aires,1,FALSE,6,,,,contact,TRUE,,,5003,always,,FALSE,0,,,,,,,,no-message,,,no-message,no-message,,no-message,,,25,,1,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
4854,Cliente 4854,1,,,9/4/18 15:51,0,TRUE,Direccion cliente 4854,TRUE,,Cliente 4854,,,235,Empresa 4854,,,FALSE,,,TRUE,,es_AR,,,,,3/4/21 15:31,,America/Buenos_Aires,1,FALSE,6,,,,contact,TRUE,,,4854,always,,FALSE,0,,,,,,,,no-message,,,no-message,no-message,,no-message,,,25,,9,,,,,,,,,,FALSE,,,,,,,,no-message,,3,,0
82896,Cliente 82896,1,,,9/24/20 19:20,0,TRUE,Direccion cliente 82896,FALSE,CABA,Cliente 82896,1406,,11,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,TRUE,1,,,,,TRUE,,552,82896,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,9,,0
82897,Cliente 82897,1,,,9/24/20 19:20,0,TRUE,Direccion cliente 82897,FALSE,CABA,Cliente 82897,1406,,11,,82896,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,FALSE,1,0,,,delivery,TRUE,,552,82896,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,9,,0
11122,Cliente 11122,1,,,4/18/20 3:50,0,TRUE,Direccion cliente 11122,FALSE,Buenos Aires,Cliente 11122,1429,,11,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,TRUE,1,,,,,TRUE,,552,11122,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,2_517,,,no-message,,9,,0
11123,Cliente 11123,1,,,4/18/20 3:50,0,FALSE,Direccion cliente 11123,FALSE,Buenos Aires,Cliente 11123,1429,,,,11122,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,FALSE,1,0,,,delivery,TRUE,,278,11122,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
73507,Cliente 73507,1,,,4/23/20 16:02,0,FALSE,Direccion cliente 73507,FALSE,Buenos Aires,Cliente 73507,1429,,,,11122,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,America/Argentina/Buenos_Aires,1,FALSE,8,0,,,delivery,TRUE,,278,11122,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
74342,Cliente 74342,1,,,6/5/20 23:20,0,TRUE,Direccion cliente 74342,FALSE,Saavedra,Cliente 74342,1429,,11,,11122,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,FALSE,1,0,,,delivery,TRUE,,552,11122,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,9,,0
83180,Cliente 83180,1,,,11/5/20 20:50,0,TRUE,Direccion cliente 83180,FALSE,villa luro,Cliente 83180,1407,,11,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,TRUE,1,,,,,TRUE,,552,83180,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,2_959,,,no-message,,9,,0
83181,Cliente 83181,1,,,11/5/20 20:50,0,TRUE,Direccion cliente 83181,FALSE,villa luro,Cliente 83181,1407,,11,,83180,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,FALSE,1,0,,,delivery,TRUE,,552,83180,always,,FALSE,,,,,,0,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,,,,no-message,,9,,0
83849,Cliente 83849,1,,,2/18/21 1:50,0,TRUE,Direccion cliente 83849,FALSE,La Rioja,Cliente 83849,5300,,11,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,,1,TRUE,1,,,,,TRUE,,563,83849,always,,FALSE,,,,,,,,,no-message,,,no-message,no-message,,no-message,,,35,,6,,,,,,,,,,FALSE,,,,,2_1129,,,no-message,,9,,0
5078,Cliente 5078,1,,,10/9/18 21:45,0,TRUE,Direccion cliente 5078,TRUE,,Cliente 5078,,,,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,America/Buenos_Aires,1,FALSE,6,,,,contact,TRUE,,,5078,always,,FALSE,0,,,,,,,,no-message,,,no-message,no-message,,no-message,,,25,,7,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
5007,Cliente 5007,1,,,9/27/18 19:59,0,TRUE,Direccion cliente 5007,TRUE,San Martin,Cliente 5007,,,11,,,,FALSE,,,FALSE,,es_AR,,,,,3/4/21 15:31,,America/Buenos_Aires,1,FALSE,8,,,,contact,TRUE,,553,5007,always,,FALSE,0,,,,,,,,no-message,,,no-message,no-message,,no-message,,,25,,1,,,,,,,,,,FALSE,,,,,,,,no-message,,,,0
